Window,Throughput (bits),Avg HoL Delay (s),Dropped
366,1.34864e+06,0.251057,2343
367,1.14351e+06,0.15832,2430
368,1.24658e+06,0.302432,2335
369,1.25996e+06,0.215832,2310
370,1.25627e+06,0.231511,2324
371,1.26826e+06,0.551715,2266
372,1.28358e+06,0.337485,2269
373,1.31893e+06,0.250814,2203
374,1.31772e+06,0.394136,2195
375,1.18498e+06,1.31753,2066
376,1.33821e+06,1.1322,2066
377,1.19347e+06,0.273471,2460
378,1.27043e+06,0.320969,2242
379,1.32353e+06,1.20161,2255
380,1.316e+06,0.412755,2395
381,1.26436e+06,0.415346,2227
382,1.30173e+06,0.396708,2302
383,1.2624e+06,0.320595,2318
384,1.17342e+06,0.315712,2285
385,1.20451e+06,0.234227,2594
386,1.29417e+06,0.382223,2458
387,1.2338e+06,0.507344,2365
388,1.31244e+06,0.420173,2231
389,1.24276e+06,0.277587,2438
390,1.27475e+06,0.261781,2355
391,1.2953e+06,0.218559,2390
392,1.21472e+06,0.278537,2315
393,1.28447e+06,0.259209,2418
394,1.30676e+06,0.196947,2360
395,1.29327e+06,0.80799,2171
396,1.36621e+06,0.828561,2231
397,1.32218e+06,0.204578,2312
398,1.31116e+06,0.598418,2168
399,1.34761e+06,1.01689,2155
400,1.24923e+06,0.3305,2097
401,1.26451e+06,0.236308,2263
402,1.31638e+06,0.326216,2213
403,1.25584e+06,0.321686,2311
404,1.2346e+06,0.344691,2227
405,1.34098e+06,0.260606,2373
406,1.29767e+06,0.211861,2465
407,1.16784e+06,0.301711,2303
408,1.24809e+06,0.436548,2357
409,1.26027e+06,0.293522,2335
410,1.27127e+06,0.2389,2369
411,1.36965e+06,0.202963,2306
412,1.27574e+06,4.43631,2205
413,1.28446e+06,13.7575,1815
414,1.25644e+06,5.99323,2010
415,1.26509e+06,0.659095,2008
416,1.24282e+06,0.413738,2408
417,1.25014e+06,0.493247,2385
418,1.20736e+06,0.497718,2446
419,1.31696e+06,0.600352,2387
420,1.3002e+06,0.603902,2301
421,1.21875e+06,0.432613,2629
422,1.29335e+06,0.417268,2440
423,1.28427e+06,0.389517,2451
424,1.33244e+06,0.754713,2173
425,1.16178e+06,0.522849,2205
426,1.26708e+06,0.408858,2405
427,1.21176e+06,0.467163,2415
428,1.33706e+06,0.444226,2322
429,1.24832e+06,0.303315,2410
430,1.30206e+06,0.402625,2354
431,1.35091e+06,4.19717,2140
432,1.33132e+06,1.44837,2023
433,1.18493e+06,0.762756,1975
434,1.38083e+06,0.458237,2102
435,1.31334e+06,0.363608,2469
436,1.24079e+06,0.451596,2380
437,1.23749e+06,0.598988,2173
438,1.27696e+06,0.763866,2296
439,1.3107e+06,0.518247,2272
440,1.29576e+06,0.661429,2091
441,1.29198e+06,0.498229,2182
442,1.27199e+06,0.326073,2341
443,1.34739e+06,0.562324,2288
444,1.25946e+06,0.923606,2097
445,1.33308e+06,0.644308,2079
446,1.24907e+06,0.553553,2286
447,1.36361e+06,0.477371,2222
448,1.25742e+06,0.435324,2306
449,1.2956e+06,0.376201,2387
450,1.29526e+06,0.638058,2199
451,1.29005e+06,0.411209,2187
452,1.34664e+06,0.271574,2504
453,1.27592e+06,0.40156,2422
454,1.23848e+06,0.618456,2087
455,1.25943e+06,0.438889,2287
456,1.29444e+06,0.362422,2291
457,1.20482e+06,0.462172,2314
458,1.21494e+06,0.414388,2338
459,1.41192e+06,0.307601,2369
460,1.31358e+06,0.756179,2239
461,1.24254e+06,1.04776,2077
462,1.23215e+06,0.531659,2266
463,1.22687e+06,0.3659,2381
464,1.2771e+06,1.4196,2181
465,1.295e+06,1.58269,2143
466,1.19514e+06,0.429862,2244
467,1.37629e+06,0.468949,2212
468,1.34041e+06,0.405988,2376
469,1.22364e+06,0.53384,2210
470,1.20151e+06,0.482018,2158
471,1.3192e+06,0.446723,2369
472,1.31251e+06,0.563524,2157
473,1.27764e+06,0.452885,2202
474,1.23612e+06,0.495791,2186
475,1.30321e+06,0.477793,2183
476,1.35621e+06,0.397274,2263
477,1.3528e+06,0.647377,2019
478,1.2959e+06,0.477074,2293
479,1.25496e+06,0.350555,2389
480,1.3518e+06,0.375898,2393
481,1.22319e+06,0.249974,2459
482,1.267e+06,0.366443,2406
483,1.31686e+06,0.326746,2343
484,1.23906e+06,0.496406,2183
485,1.3216e+06,0.382362,2275
486,1.34242e+06,0.473869,2310
487,1.3223e+06,0.318873,2296
488,1.24726e+06,0.240703,2119
489,1.24527e+06,0.204035,2318
490,1.1807e+06,0.265846,2550
491,1.31101e+06,0.386385,2318
492,1.26747e+06,0.299275,2372
493,1.21654e+06,0.272669,2289
494,1.26974e+06,0.202442,2376
495,1.30277e+06,0.259022,2432
496,1.30813e+06,1.69433,2334
497,1.29938e+06,1.13805,2310
498,1.28951e+06,7.5797,2146
499,1.19339e+06,12.1467,2028
500,1.2644e+06,0.894026,2200
501,1.37004e+06,0.431718,2230
502,1.24428e+06,0.389338,2263
503,1.27141e+06,0.442719,2375
504,1.29455e+06,0.42259,2337
505,1.26446e+06,0.374029,2248
506,1.26379e+06,0.738615,2086
507,1.27406e+06,0.516769,2246
508,1.30056e+06,0.473585,2121
509,1.24081e+06,0.46555,2320
510,1.2225e+06,0.388035,2344
511,1.28504e+06,0.319998,2599
512,1.22541e+06,0.222941,2619
513,1.25876e+06,0.656371,2212
514,1.40705e+06,0.62309,2112
515,1.36883e+06,0.272768,2308
516,1.32681e+06,0.370948,2212
517,1.24566e+06,0.296676,2093
518,1.30606e+06,0.229825,2349
519,1.25732e+06,0.367086,2183
520,1.22544e+06,0.399373,2082
521,1.31044e+06,0.27634,2131
522,1.23105e+06,0.250297,2264
523,1.36527e+06,0.274029,2136
524,1.29764e+06,0.32069,2198
525,1.26039e+06,0.232894,2250
526,1.34994e+06,0.22424,2247
527,1.2372e+06,0.214848,2421
528,1.28997e+06,0.2111,2275
529,1.22416e+06,0.207258,2367
530,1.35256e+06,0.186848,2348
531,1.22178e+06,0.155137,2248
532,1.31367e+06,0.129972,2296
533,1.33558e+06,0.339993,2314
534,1.32091e+06,0.558823,2127
535,1.32679e+06,0.554448,2157
536,1.29781e+06,15.8262,1929
537,1.273e+06,8.04845,2026
538,1.21469e+06,0.389812,1940
539,1.22558e+06,0.620406,2039
540,1.27497e+06,0.581531,2048
541,1.26383e+06,0.455727,2237
542,1.16837e+06,0.658341,2243
543,1.35234e+06,0.574625,2357
544,1.18546e+06,0.59448,2425
545,1.24256e+06,0.744728,2208
546,1.43963e+06,0.505078,2325
547,1.27621e+06,0.78174,2100
548,1.22473e+06,0.566396,2222
549,1.29915e+06,0.381156,2456
550,1.26613e+06,0.537357,2437
551,1.32744e+06,0.91923,2180
552,1.15935e+06,0.696494,2164
553,1.21889e+06,0.49972,2293
554,1.31446e+06,0.576749,2308
555,1.2841e+06,0.608773,2296
556,1.23351e+06,0.37531,2495
557,1.25186e+06,0.413792,2381
558,1.27805e+06,0.788856,2124
559,1.33869e+06,0.764427,2107
560,1.3248e+06,0.420496,2307
561,1.295e+06,0.449263,2282
562,1.44963e+06,0.558572,2160
563,1.23347e+06,0.426522,2274
564,1.27052e+06,0.380971,2271
565,1.31512e+06,0.353089,2294
566,1.33225e+06,0.319509,2515
567,1.23469e+06,0.35796,2306
568,1.18579e+06,0.675819,2303
569,1.19199e+06,0.499423,2349
570,1.21387e+06,0.367883,2321
571,1.19497e+06,0.328883,2415
572,1.32579e+06,0.40504,2322
573,1.31167e+06,1.3558,2121
574,1.37366e+06,0.596989,2298
575,1.22863e+06,0.48542,2197
576,1.29641e+06,0.386543,2241
577,1.27321e+06,0.434526,2302
578,1.20005e+06,0.395329,2367
579,1.27343e+06,0.335146,2411
580,1.22769e+06,0.52147,2502
581,1.27436e+06,0.64413,2416
582,1.29352e+06,1.12556,2025
583,1.23047e+06,1.18316,2181
584,1.26064e+06,0.584088,2268
585,1.4098e+06,0.414871,2320
586,1.3386e+06,0.509457,2224
