Window,Throughput (bits),Avg HoL Delay (s),Dropped
553,27485,0.00168421,0
554,42340,0.00192308,0
555,28256,0.000807018,0
556,33063,0.00234848,0
557,36870,0.00424286,0
558,30443,0.0010339,0
559,25960,0.00084,0
560,32676,0.0021194,0
561,33543,0.00207813,0
562,35083,0.00162857,0
563,36528,0.00191176,0
564,26900,0.00256897,0
565,27509,0.00152632,0
566,22435,0.00321569,0
567,29913,0.00110169,0
568,22719,0.00115909,0
569,28838,0.001625,0
570,27449,0.00363934,0
571,30112,0.000826087,0
572,28443,0.00203333,0
573,24994,0.00306122,0
574,38183,0.00148571,0
575,32494,0.00112121,0
576,32904,0.000925373,0
577,24855,0.00337736,0
578,31823,0.0012381,0
579,35506,0.00106154,0
580,34348,0.00173438,0
581,40285,0.00145946,0
582,29918,0.00265517,0
583,25740,0.00237255,0
584,31261,0.00215,0
585,27278,0.00407407,0
586,36011,0.00108621,0
587,29789,0.00174603,0
588,20667,0.00107317,0
589,32635,0.00239344,0
590,34568,0.00340909,0
591,39048,0.002375,0
592,26949,0.00405357,0
593,27141,0.00122414,0
594,30656,0.00363793,0
595,35488,0.00191176,0
596,25257,0.00228,0
597,26450,0.00305769,0
598,32786,0.00333871,0
599,34656,0.00201429,0
600,30826,0.000830189,0
601,26124,0.0027541,0
602,28711,0.00267143,0
603,26744,0.00292308,0
604,22564,0.00202083,0
605,30374,0.00272727,0
606,25427,0.00217308,0
607,26161,0.00176471,0
608,26029,0.00174545,0
609,34728,0.00112121,0
610,35601,0.00204545,0
611,27111,0.00187719,0
612,32299,0.000694915,0
613,27202,0.00176364,0
614,34010,0.000695652,0
615,27955,0.00122642,0
616,25851,0.00375,0
617,22897,0.00109091,0
618,32782,0.00206154,0
619,29337,0.00246429,0
620,21665,0.00164444,0
621,32700,0.00223077,0
622,39557,0.00268,0
623,27568,0.00276364,0
624,27909,0.00278846,0
625,24000,0.00351852,0
626,23828,0.00261111,0
627,30236,0.00170175,0
628,23327,0.00190196,0
629,35910,0.001,0
630,28493,0.0014127,0
631,31520,0.000984127,0
632,35147,0.00307143,0
633,31056,0.00347273,0
634,28239,0.00172,0
635,27540,0.00305172,0
636,30604,0.00105,0
637,25590,0.000921569,0
638,25010,0.00192308,0
639,28065,0.00113559,0
640,29153,0.00125,0
641,35830,0.00315068,0
642,25877,0.00122222,0
643,29327,0.00218,0
644,25361,0.002,0
645,25989,0.00141379,0
646,31646,0.00191525,0
647,29644,0.00147541,0
648,29503,0.00196364,0
649,34373,0.00352941,0
650,31975,0.00171875,0
651,35001,0.0026087,0
652,31090,0.00172414,0
653,33848,0.00173529,0
654,30331,0.0032381,0
655,25784,0.00203774,0
656,38259,0.00331169,0
657,29823,0.00285484,0
658,25255,0.00337037,0
659,30488,0.00314516,0
660,33201,0.0021129,0
661,31715,0.00239063,0
662,30982,0.00107143,0
663,32810,0.00228571,0
664,39606,0.0025,0
665,28947,0.00230159,0
666,30667,0.00257627,0
667,28306,0.00327273,0
668,30800,0.00245614,0
669,33867,0.0025625,0
670,25790,0.00136538,0
671,32969,0.00255,0
672,35235,0.0026,0
673,23644,0.00326,0
674,28029,0.00138983,0
675,32204,0.00177273,0
676,32853,0.0015,0
677,25654,0.00119643,0
678,35763,0.00255405,0
679,34104,0.00156061,0
680,26602,0.00115385,0
681,35603,0.00219672,0
682,27579,0.00303704,0
683,32077,0.00390769,0
684,27202,0.00190741,0
685,32762,0.003,0
686,39045,0.00298571,0
687,39853,0.00293151,0
688,32738,0.00465625,0
689,28292,0.0010339,0
690,29901,0.00358182,0
691,27898,0.00186792,0
692,26446,0.00268519,0
693,30651,0.00163636,0
694,35078,0.00268254,0
695,27058,0.00164286,0
696,33570,0.0040625,0
697,31829,0.00193846,0
698,29658,0.00307143,0
699,34439,0.00175806,0
700,27155,0.00168519,0
701,31229,0.00371875,0
702,26934,0.00291071,0
703,25843,0.00294737,0
704,31244,0.00120968,0
705,27862,0.00290909,0
706,29404,0.00111765,0
707,32113,0.00363077,0
708,23400,0.0012449,0
709,35244,0.00195385,0
710,25631,0.0023617,0
711,30552,0.00167742,0
712,28764,0.00223729,0
713,26668,0.00188679,0
714,21245,0.00209259,0
715,30941,0.00163793,0
716,27465,0.00160606,0
717,32455,0.000661765,0
718,21266,0.00129167,0
719,26213,0.00154,0
720,34083,0.00240278,0
721,21531,0.00159184,0
722,25316,0.000981818,0
723,34057,0.00265753,0
724,31420,0.00109524,0
725,32538,0.0021,0
726,35566,0.00136765,0
727,25284,0.000907407,0
728,31120,0.00198305,0
729,38529,0.00270423,0
730,27952,0.00196552,0
731,30157,0.00122034,0
732,26105,0.00335849,0
733,27340,0.00251852,0
734,31225,0.00163492,0
735,37570,0.003,0
736,30625,0.000616667,0
737,32802,0.00340625,0
738,37811,0.00162121,0
739,32862,0.0012,0
740,30645,0.00207937,0
741,32290,0.00197143,0
742,30382,0.00243396,0
743,39572,0.00343421,0
744,43864,0.002625,0
745,28962,0.00122807,0
746,32646,0.00156923,0
747,32817,0.00137313,0
748,37960,0.00234783,0
749,32166,0.000952381,0
750,33372,0.00224194,0
751,24855,0.00252083,0
752,24068,0.00186957,0
753,31877,0.0036338,0
754,24101,0.00219231,0
755,29343,0.00130303,0
756,40804,0.00161039,0
757,34028,0.0010303,0
758,28904,0.000546875,0
759,25321,0.0023617,0
760,31102,0.00184375,0
761,27637,0.00201852,0
762,33896,0.00266176,0
763,28921,0.00103279,0
764,25912,0.00196429,0
765,33311,0.00219643,0
766,30897,0.00161017,0
767,25787,0.00116393,0
768,39951,0.00205128,0
769,42996,0.00222892,0
770,28628,0.00247458,0
771,29547,0.00377778,0
772,24745,0.00187931,0
773,33854,0.00183607,0
774,26758,0.00171698,0
775,26396,0.00177586,0
776,20997,0.00306977,0
777,32620,0.00175,0
778,35080,0.00201449,0
779,26073,0.00231481,0
780,31186,0.00107937,0
781,24784,0.000509804,0
782,32294,0.00287692,0
783,34018,0.00226563,0
784,23361,0.00171739,0
785,28006,0.00177966,0
786,24352,0.00264,0
787,25230,0.00128814,0
788,25674,0.00240351,0
789,28999,0.00411111,0
790,32467,0.000935484,0
791,26000,0.00132609,0
792,25322,0.00425,0
793,24480,0.00235849,0
794,26641,0.00170588,0
